<def> , def
<fed> , fed
<if> , if
<then> , then
<else> , else
<fi> , fi
<while> , while
<do> , do
<od> , od
<print> , print
<return> , return
<or> , or
<and> , and
<not> , not
<Operator> , =
<Operator> , ==
<Operator> , +
<Operator> , -
<Operator> , *
<Operator> , /
<Operator> , %
<Operator> , <
<Operator> , >
<Operator> , ==
<Operator> , <=
<Operator> , >=
<Operator> , <>
<Operator> , ,
<Operator> , ;
<Operator> , (
<Operator> , )
<int>, int
<int>, int
<double> , double
<double> , double
<double> , double
